Ts,Ts_e,Ts_ec,Q1,Q2,Q3,Q4,Q_1lf,Q_2lf,Q_3lf,Q_4lf
276,329,56,6.21463102985313,13.050725162691577,18.64389308955939,24.85852411941252,5.57394267811998,11.705279624051952,16.721828034359934,22.29577071247993
277,330,57,6.859951380309425,14.405897898649794,20.579854140928276,27.4398055212377,6.181723466819124,12.98161928032014,18.545170400457344,24.7268938672765
278,331,58,7.567097533388143,15.890904820115102,22.70129260016443,30.268390133552572,6.8557764632612335,14.397130572848567,20.56732938978367,27.423105853044937
279,332,59,8.3414852958282,17.51711912123922,25.0244558874846,33.3659411833128,7.603327966139499,15.966988728892924,22.809983898418462,30.413311864558
280,333,60,9.188959150234952,19.2968142154934,27.56687745070485,36.75583660093981,8.43239222726627,17.70802367725914,25.297176681798774,33.72956890906509
281,334,61,10.115822425833308,21.243227094249946,30.347467277499916,40.46328970333323,9.351857369709569,19.638900476390063,28.055572109128665,37.40742947883828
282,335,62,11.128869313890545,23.370625559170147,33.386607941671635,44.51547725556218,10.371580674413714,21.780319416268764,31.114742023241096,41.48632269765486
283,336,63,12.235418822224856,25.6943795266722,36.70625646667456,48.941675288899425,11.502494256840084,24.155237939364138,34.5074827705202,46.00997702736034
284,337,64,13.443350766992907,28.23103661068511,40.330052300978714,53.77340306797163,12.756722266552519,26.78911675976025,38.2701667996575,51.02688906621009
285,338,65,14.761143903826786,30.998402198036253,44.283431711480354,59.044575615307146,14.147710866204982,29.710192819030418,42.44313259861489,56.59084346481994
286,339,66,16.197916304367293,34.015624239171316,48.59374891310188,64.79166521746917,15.690372383393324,32.94978200512593,47.07111715017991,62.76148953357331
287,340,67,17.763468088318444,37.303282985468734,53.29040426495533,71.05387235327377,17.401245180775327,36.542614879628125,52.2037355423259,69.6049807231013
288,341,68,19.468326625325965,40.88348591318452,58.40497987597789,77.87330650130386,19.298670958373364,40.527209012584,57.89601287512001,77.19468383349347
289,342,69,21.323794325261886,44.779968083049965,63.97138297578565,85.29517730104754,21.402991388859306,44.94628191660448,64.20897416657783,85.61196555543724
290,343,70,23.34199913987888,49.018198193745654,70.02599741963664,93.36799655951552,23.736766193882833,49.84720900715387,71.21029858164839,94.94706477553135
291,344,71,25.535947903278256,53.62549059688435,76.60784370983475,102.14379161311302,26.325014999367717,55.28253149867212,78.97504499810304,105.30005999747088
292,345,72,27.919582643221815,58.631123550765814,83.75874792966543,111.67833057288726,29.195485562626008,61.31051968151447,87.58645668787781,116.78194225050406
293,346,73,30.50784000000001,64.06646400000002,91.52352000000002,122.03136000000003,32.37895124686446,67.99579761841525,97.13685374059322,129.51580498745784
294,347,74,33.31671389435745,69.96509917815065,99.95014168307233,133.2668555774298,35.909540932208685,75.41003595763806,107.7286227966258,143.63816372883477
295,348,75,36.363321590861595,76.36297534080936,109.08996477258478,145.45328636344638,39.8251049001114,83.63272029023382,119.47531470033402,159.30041960044562
296,349,76,39.665973308091495,83.29854394699214,118.99791992427448,158.66389323236598,44.16762061367088,92.7520032887087,132.50286184101245,176.67048245468354
297,350,77,43.244245532108984,90.81291561742887,129.73273659632693,172.97698212843594,48.98364274409502,102.86564976259929,146.95092823228472,195.93457097638012
298,351,78,47.11905819486273,98.95002220921175,141.3571745845882,188.47623277945092,54.32480226789633,114.08208476258191,162.97440680368845,217.29920907158535
299,352,79,51.31275588446687,107.75678735738045,153.9382676534006,205.25102353786747,60.248359985472796,126.52155596949268,180.74507995641812,240.9934399418912
300,353,80,55.84919325967466,117.28330584531679,167.54757977902395,223.39677303869863,66.81782039516457,140.31742282984538,200.4534611854934,267.2712815806583
301,354,81,60.75382484635814,127.58303217735211,182.2614745390744,243.01529938543257,74.10361250392523,155.61758625824274,222.31083751177536,296.414450015701
302,355,82,66.05379939937848,138.7129787386948,198.1613981981354,264.2151975975139,82.18384487335504,172.58607423404501,246.55153462006433,328.7353794934202
